candidate_id,rank,score,reasoning
CAND_0005260,11,78.65,"I would keep this as a strong top-50 profile because the experience is not just AI keywords: Senior NLP Engineer at Yellow.ai in AI/ML maps to retrieval, vector search, dense retrieval. They have 5.2 yrs overall, intermediate MLOps (17m), advanced Information Retrieval (45m), expert Semantic Search (56m), plus very responsive to recruiters (0.86), manageable 60d notice, 11 recruiter saves in 30d; based in a target Indian metro (Chennai, Tamil Nadu)."
CAND_0094759,12,78.57,"The profile clears the JD bar because Senior NLP Engineer work at Apple gives direct evidence of retrieval, dense retrieval, hybrid retrieval. Named skills/signals supporting the rank: expert Hugging Face Transformers (72m), expert Semantic Search (52m), advanced Qdrant (55m); recruiter response is only 0.11, short 30d notice, 0.94 interview completion; based in a target Indian metro (Mumbai, Maharashtra). Main caveat: low recruiter response rate (0.11)."
CAND_0080766,13,77.41,"The profile clears the JD bar because Senior Machine Learning Engineer work at Haptik gives direct evidence of retrieval, semantic search, bm25. Named skills/signals supporting the rank: expert LoRA (71m), advanced MLOps (55m), advanced MLflow (40m); solid recruiter response (0.66), short 0d notice, 0.88 interview completion; India-based and willing to relocate from Coimbatore, Tamil Nadu."
CAND_0028793,14,77.06,"The fit at rank 14 comes from search/ranking-style work rather than a generic ML label: retrieval, semantic search, bm25 appears in the Search Engineer work at Google. With 7.2 yrs, advanced Kubeflow (49m), expert Embeddings (78m), expert LoRA (92m), solid recruiter response (0.57), 120d notice, 43 recruiter saves in 30d, and India-based and willing to relocate from Trivandrum, Kerala, the profile lines up with Redrob's founding AI-engineer brief. Main caveat: 120d notice period raises closing risk."
CAND_0079387,15,76.96,"The fit at rank 15 comes from search/ranking-style work rather than a generic ML label: retrieval, semantic search, bm25 appears in the AI Engineer work at BYJU'S. With 6.9 yrs, advanced Recommendation Systems (59m), expert Python (51m), expert Sentence Transformers (72m), very responsive to recruiters (0.81), short 30d notice, 0.90 interview completion, and India-based in Trivandrum, Kerala, the profile lines up with Redrob's founding AI-engineer brief."
CAND_0007411,16,76.31,"Rank 16 is a strong top-50 match: Senior Machine Learning Engineer with 8.0 yrs total, and the best evidence in a Senior Machine Learning Engineer stint at Amazon (38 months) covering retrieval, hybrid retrieval, embedding. The supporting signals are expert OpenSearch (86m), advanced Fine-tuning LLMs (40m), advanced Vector Search (41m), India-based and willing to relocate from Kochi, Kerala, and recruiter response is only 0.12, short 15d notice, 0.80 interview completion. Main caveat: low recruiter response rate (0.12)."
CAND_0011162,17,76.12,"The profile clears the JD bar because Recommendation Systems Engineer work at upGrad gives direct evidence of retrieval, embedding, rag. Named skills/signals supporting the rank: intermediate Weights & Biases (10m), expert FAISS (94m), expert Vector Search (46m); very responsive to recruiters (0.75), 90d notice, 63 recruiter saves in 30d; India-based and willing to relocate from Coimbatore, Tamil Nadu."
CAND_0041669,18,75.18,"Recommendation Systems Engineer, 8.0 yrs, is a strong top-50 fit for the role's retrieval/ranking mandate; the strongest evidence is NLP Engineer work at Yellow.ai around retrieval, embedding, rag. Skills/signals check out via advanced FAISS (38m), expert Milvus (76m), advanced MLflow (29m), with very responsive to recruiters (0.77), manageable 60d notice, 0.93 interview completion; already in a preferred office market (Noida, Uttar Pradesh)."
CAND_0044855,19,74.87,"This profile earns rank 19 mainly on JD-critical evidence: retrieval, semantic search, bm25 from Machine Learning Engineer work at Verloop.io, not generic AI interest. The concrete facts are Senior Data Scientist, 6.6 yrs, advanced Hugging Face Transformers (32m), expert OpenSearch (81m), advanced BentoML (57m), and Redrob availability signals of solid recruiter response (0.57), manageable 60d notice, 0.90 interview completion; India-based and willing to relocate from Coimbatore, Tamil Nadu."
CAND_0052328,20,74.26,"The profile clears the JD bar because Recommendation Systems Engineer work at Amazon gives direct evidence of retrieval, embedding, rag. Named skills/signals supporting the rank: advanced LoRA (53m), expert OpenSearch (42m), expert QLoRA (54m); very responsive to recruiters (0.79), short 30d notice, 0.95 interview completion; already in a preferred office market (Pune, Maharashtra)."
CAND_0060072,21,74.19,"I would keep this as a strong top-50 profile because the experience is not just AI keywords: Staff Machine Learning Engineer at Amazon in Internet maps to retrieval, vector search, hybrid retrieval. They have 5.7 yrs overall, expert Sentence Transformers (60m), intermediate Feature Engineering (36m), advanced Milvus (26m), plus recruiter response is only 0.10, 90d notice, 0.99 interview completion; India-based and willing to relocate from Indore, Madhya Pradesh. Main caveat: low recruiter response rate (0.10)."
CAND_0027691,22,74.14,"Rank 22 is a strong top-50 match: NLP Engineer with 6.5 yrs total, and the best evidence in a Applied ML Engineer stint at Vedantu (33 months) covering retrieval, semantic search, bm25. The supporting signals are expert LoRA (72m), expert Recommendation Systems (92m), expert Weaviate (73m), already in a preferred office market (Pune, Maharashtra), and solid recruiter response (0.68), short 15d notice, 25 recruiter saves in 30d."
CAND_0070398,23,74.08,"Machine Learning Engineer, 7.2 yrs, is a strong top-50 fit for the role's retrieval/ranking mandate; the strongest evidence is Machine Learning Engineer work at Genpact AI around retrieval, semantic search, bm25. Skills/signals check out via advanced Data Science (48m), expert RAG (72m), expert FAISS (90m), with solid recruiter response (0.60), 120d notice, 13 recruiter saves in 30d; India-based and willing to relocate from Kochi, Kerala. Main caveat: 120d notice period raises closing risk."
CAND_0008425,24,73.79,"The fit at rank 24 comes from search/ranking-style work rather than a generic ML label: retrieval, semantic search, hybrid retrieval appears in the Lead AI Engineer work at Amazon. With 7.8 yrs, expert Qdrant (92m), advanced Weights & Biases (19m), expert Sentence Transformers (96m), solid recruiter response (0.66), 90d notice, 55 recruiter saves in 30d, and India-based in Kolkata, West Bengal, the profile lines up with Redrob's founding AI-engineer brief."
CAND_0060054,25,73.53,"The profile clears the JD bar because AI Engineer work at Mad Street Den gives direct evidence of retrieval, semantic search, bm25. Named skills/signals supporting the rank: advanced Weaviate (18m), advanced FAISS (59m), advanced Feature Engineering (41m); very responsive to recruiters (0.86), short 15d notice, 39 recruiter saves in 30d; India-based and willing to relocate from Jaipur, Rajasthan. Main caveat: recent activity is weak (last active 2026-03-17)."
CAND_0068811,26,73.49,"Applied ML Engineer, 8.0 yrs, is a strong top-50 fit for the role's retrieval/ranking mandate; the strongest evidence is Applied ML Engineer work at Freshworks around retrieval, embedding, rag. Skills/signals check out via intermediate Data Science (23m), expert Vector Search (79m), intermediate Kubeflow (18m), with recruiter response is only 0.42, short 30d notice, last active 2026-05-21; already in a preferred office market (Pune, Maharashtra)."
CAND_0033861,27,73.44,"I would keep this as a strong top-50 profile because the experience is not just AI keywords: Senior NLP Engineer at Sarvam AI in AI/ML maps to retrieval, semantic search, hybrid retrieval. They have 8.0 yrs overall, expert Weaviate (42m), advanced LoRA (23m), expert LLMs (78m), plus recruiter response is only 0.16, short 30d notice, 0.83 interview completion; India-based in Vizag, Andhra Pradesh. Main caveat: low recruiter response rate (0.16)."
CAND_0061265,28,73.14,"I would keep this as a strong top-50 profile because the experience is not just AI keywords: Recommendation Systems Engineer at Zoho in SaaS maps to retrieval, semantic search, bm25. They have 6.6 yrs overall, expert Qdrant (76m), advanced Vector Search (26m), expert Hugging Face Transformers (73m), plus very responsive to recruiters (0.94), 120d notice, 24 recruiter saves in 30d; based in a target Indian metro (Delhi, Delhi). Main caveat: 120d notice period raises closing risk."
CAND_0039754,29,73.02,"This profile earns rank 29 mainly on JD-critical evidence: retrieval, semantic search, dense retrieval from Senior Applied Scientist work at Observe.AI, not generic AI interest. The concrete facts are Senior Applied Scientist, 16.2 yrs, expert Fine-tuning LLMs (57m), expert Qdrant (67m), advanced Kubeflow (53m), and Redrob availability signals of very responsive to recruiters (0.81), short 30d notice, 0.98 interview completion; India-based and willing to relocate from Indore, Madhya Pradesh. Main caveat: career duration and profile experience diverge."
CAND_0005649,30,72.97,"I would keep this as a strong top-50 profile because the experience is not just AI keywords: Senior Data Scientist at Sarvam AI in AI/ML maps to retrieval, semantic search, bm25. They have 7.4 yrs overall, expert Fine-tuning LLMs (63m), expert Recommendation Systems (89m), advanced QLoRA (39m), plus solid recruiter response (0.57), 90d notice, 0.88 interview completion; based in a target Indian metro (Delhi, Delhi)."
CAND_0039383,31,72.95,"This profile earns rank 31 mainly on JD-critical evidence: retrieval, semantic search, bm25 from Machine Learning Engineer work at Swiggy, not generic AI interest. The concrete facts are Applied ML Engineer, 7.1 yrs, expert FAISS (67m), advanced Kubeflow (35m), advanced Recommendation Systems (24m), and Redrob availability signals of solid recruiter response (0.61), 90d notice, 0.97 interview completion; based in a target Indian metro (Gurgaon, Haryana). Main caveat: recent activity is weak (last active 2026-03-19)."
CAND_0092278,32,72.89,"I would keep this as a strong top-50 profile because the experience is not just AI keywords: Senior NLP Engineer at Saarthi.ai in Voice AI maps to retrieval, dense retrieval, hybrid retrieval. They have 6.8 yrs overall, expert Hugging Face Transformers (80m), expert QLoRA (79m), expert Elasticsearch (43m), plus recruiter response is only 0.07, 90d notice, last active 2025-11-07; already in a preferred office market (Pune, Maharashtra). Main caveat: low recruiter response rate (0.07)."
CAND_0086151,33,72.85,"I would keep this as a strong top-50 profile because the experience is not just AI keywords: AI Engineer at Meta in Internet maps to retrieval, semantic search, bm25. They have 7.7 yrs overall, intermediate BentoML (8m), intermediate Data Science (28m), advanced Recommendation Systems (44m), plus solid recruiter response (0.52), 120d notice, 55 recruiter saves in 30d; India-based and willing to relocate from Vizag, Andhra Pradesh. Main caveat: 120d notice period raises closing risk."
CAND_0020877,34,72.66,"The profile clears the JD bar because Applied ML Engineer work at CRED gives direct evidence of retrieval, semantic search, bm25. Named skills/signals supporting the rank: expert QLoRA (83m), advanced Kubeflow (58m), expert Elasticsearch (69m); solid recruiter response (0.66), manageable 60d notice, 19 recruiter saves in 30d; based in a target Indian metro (Gurgaon, Haryana)."
CAND_0064326,35,72.58,"Search Engineer, 7.6 yrs, is a strong top-50 fit for the role's retrieval/ranking mandate; the strongest evidence is Machine Learning Engineer work at Freshworks around retrieval, embedding, rag. Skills/signals check out via advanced Milvus (58m), advanced Semantic Search (37m), expert Weaviate (51m), with very responsive to recruiters (0.94), manageable 45d notice, 0.90 interview completion; based in a target Indian metro (Gurgaon, Haryana)."
CAND_0041610,36,72.44,"I would keep this as a solid but less dominant profile because the experience is not just AI keywords: Search Engineer at InMobi in AdTech maps to retrieval, embedding, rag. They have 6.7 yrs overall, advanced LoRA (32m), advanced Data Science (33m), expert Elasticsearch (94m), plus solid recruiter response (0.52), short 30d notice, 0.80 interview completion; India-based and willing to relocate from Indore, Madhya Pradesh."
CAND_0083307,37,72.34,"The profile clears the JD bar because Machine Learning Engineer work at Ola gives direct evidence of retrieval, semantic search, bm25. Named skills/signals supporting the rank: expert Embeddings (83m), intermediate Weights & Biases (36m), expert QLoRA (36m); solid recruiter response (0.70), 120d notice, 0.83 interview completion; India-based in Vizag, Andhra Pradesh. Reason it is not ranked higher: 120d notice period raises closing risk."
CAND_0054123,38,72.27,"Rank 38 is a solid but less dominant match: Applied ML Engineer with 4.7 yrs total, and the best evidence in a AI Engineer stint at CRED (10 months) covering retrieval, semantic search, bm25. The supporting signals are advanced Python (19m), expert Weaviate (39m), expert Qdrant (75m), based in a target Indian metro (Gurgaon, Haryana), and very responsive to recruiters (0.87), manageable 60d notice, 11 recruiter saves in 30d."
CAND_0043228,39,72.18,"The profile clears the JD bar because Search Engineer work at Yellow.ai gives direct evidence of retrieval, semantic search, bm25. Named skills/signals supporting the rank: expert Hugging Face Transformers (86m), intermediate FastAPI (13m), advanced Vector Search (32m); recruiter response is only 0.41, short 30d notice, 0.94 interview completion; based in a target Indian metro (Chennai, Tamil Nadu)."
CAND_0077285,40,71.89,"This profile earns rank 40 mainly on JD-critical evidence: embedding, rag, ranking from Recommendation Systems Engineer work at Nykaa, not generic AI interest. The concrete facts are Recommendation Systems Engineer, 5.5 yrs, expert LoRA (79m), advanced Pinecone (51m), expert Sentence Transformers (66m), and Redrob availability signals of solid recruiter response (0.56), manageable 60d notice, 65 recruiter saves in 30d; India-based in Ahmedabad, Gujarat."
CAND_0006567,41,71.85,"Rank 41 is a solid but less dominant match: Senior AI Engineer with 7.9 yrs total, and the best evidence in a Senior ML Engineer — Search & Ranking stint at Glance (19 months) covering retrieval, information retrieval, ranking. The supporting signals are expert Python (68m), intermediate Data Science (10m), advanced Feature Engineering (55m), already in a preferred office market (Noida, Uttar Pradesh), and very responsive to recruiters (0.79), manageable 60d notice, 0.93 interview completion."
CAND_0093912,42,71.81,"I would keep this as a solid but less dominant profile because the experience is not just AI keywords: Search Engineer at Flipkart in E-commerce maps to retrieval, semantic search, bm25. They have 5.3 yrs overall, intermediate Feature Engineering (23m), expert Milvus (61m), expert Embeddings (61m), plus solid recruiter response (0.66), short 30d notice, 0.96 interview completion; India-based in Chandigarh, Chandigarh."
CAND_0069905,43,71.76,"I would keep this as a solid but less dominant profile because the experience is not just AI keywords: Recommendation Systems Engineer at Observe.AI in AI/ML maps to retrieval, semantic search, bm25. They have 6.6 yrs overall, expert LoRA (51m), expert Recommendation Systems (75m), expert Sentence Transformers (55m), plus very responsive to recruiters (0.78), 90d notice, 0.93 interview completion; India-based and willing to relocate from Bhubaneswar, Odisha."
CAND_0017960,44,71.68,"The fit at rank 44 comes from search/ranking-style work rather than a generic ML label: semantic search, embedding, rag appears in the Recommendation Systems Engineer work at Nykaa. With 7.7 yrs, expert QLoRA (63m), expert Hugging Face Transformers (36m), intermediate Data Science (17m), solid recruiter response (0.72), manageable 60d notice, 43 recruiter saves in 30d, and based in a target Indian metro (Bangalore, Karnataka), the profile lines up with Redrob's founding AI-engineer brief."
CAND_0057563,45,71.58,"Rank 45 is a solid but less dominant match: NLP Engineer with 6.8 yrs total, and the best evidence in a Senior Data Scientist stint at Zoho (26 months) covering retrieval, semantic search, bm25. The supporting signals are expert RAG (68m), expert Elasticsearch (61m), advanced Feature Engineering (52m), India-based and willing to relocate from Indore, Madhya Pradesh, and very responsive to recruiters (0.83), manageable 60d notice, 0.81 interview completion."
CAND_0050454,46,71.45,"The profile clears the JD bar because AI Engineer work at Rephrase.ai gives direct evidence of retrieval, semantic search, bm25. Named skills/signals supporting the rank: expert QLoRA (87m), expert Fine-tuning LLMs (74m), expert FAISS (62m); very responsive to recruiters (0.77), short 30d notice, 30 recruiter saves in 30d; based in a target Indian metro (Delhi, Delhi)."
CAND_0027801,47,71.34,"Rank 47 is a solid but less dominant match: NLP Engineer with 7.4 yrs total, and the best evidence in a Recommendation Systems Engineer stint at Uber (31 months) covering retrieval, semantic search, bm25. The supporting signals are expert FAISS (80m), expert Milvus (71m), expert QLoRA (52m), based in a target Indian metro (Hyderabad, Telangana), and solid recruiter response (0.65), 120d notice, 65 recruiter saves in 30d. Reason it is not ranked higher: 120d notice period raises closing risk."
CAND_0053695,48,71.32,"The profile clears the JD bar because Applied ML Engineer work at Niramai gives direct evidence of retrieval, semantic search, bm25. Named skills/signals supporting the rank: advanced MLOps (54m), expert Pinecone (90m), advanced Weights & Biases (25m); solid recruiter response (0.60), short 15d notice, 34 recruiter saves in 30d; India-based in Bhubaneswar, Odisha."
CAND_0006418,49,71.25,"Machine Learning Engineer, 5.7 yrs, is a solid but less dominant fit for the role's retrieval/ranking mandate; the strongest evidence is Machine Learning Engineer work at Verloop.io around retrieval, rag, ranking. Skills/signals check out via expert Semantic Search (69m), expert Embeddings (71m), expert Weaviate (93m), with very responsive to recruiters (0.92), manageable 60d notice, 0.89 interview completion; based in a target Indian metro (Gurgaon, Haryana)."
CAND_0096172,50,71.07,"This profile earns rank 50 mainly on JD-critical evidence: retrieval, semantic search, bm25 from NLP Engineer work at Krutrim, not generic AI interest. The concrete facts are NLP Engineer, 5.2 yrs, expert OpenSearch (44m), expert Elasticsearch (71m), expert Semantic Search (63m), and Redrob availability signals of recruiter response is only 0.47, manageable 45d notice, 11 recruiter saves in 30d; based in a target Indian metro (Chennai, Tamil Nadu)."
CAND_0062247,51,71.06,"I would keep this as a solid but less dominant profile because the experience is not just AI keywords: AI Engineer at Google in Internet maps to retrieval, semantic search, bm25. They have 7.3 yrs overall, expert Pinecone (37m), expert Vector Search (75m), expert Qdrant (90m), plus very responsive to recruiters (0.78), short 30d notice, 0.84 interview completion; India-based and willing to relocate from Kochi, Kerala."
CAND_0014440,52,70.85,"Rank 52 is a solid but less dominant match: Recommendation Systems Engineer with 6.4 yrs total, and the best evidence in a Recommendation Systems Engineer stint at CRED (31 months) covering retrieval, embedding, ranking. The supporting signals are advanced Elasticsearch (28m), expert Milvus (79m), intermediate Feature Engineering (9m), based in a target Indian metro (Chennai, Tamil Nadu), and solid recruiter response (0.64), manageable 60d notice, 0.84 interview completion."
CAND_0058575,53,70.79,"Rank 53 is a solid but less dominant match: AI Engineer with 5.8 yrs total, and the best evidence in a AI Engineer stint at Krutrim (24 months) covering retrieval, semantic search, bm25. The supporting signals are advanced MLOps (48m), expert Recommendation Systems (80m), expert Pinecone (84m), based in a target Indian metro (Chennai, Tamil Nadu), and solid recruiter response (0.69), 90d notice, 47 recruiter saves in 30d."
CAND_0076251,54,70.74,"This profile earns rank 54 mainly on JD-critical evidence: retrieval, semantic search, bm25 from Search Engineer work at Haptik, not generic AI interest. The concrete facts are Search Engineer, 7.6 yrs, advanced Fine-tuning LLMs (32m), expert Hugging Face Transformers (42m), advanced Weaviate (29m), and Redrob availability signals of solid recruiter response (0.51), manageable 60d notice, 47 recruiter saves in 30d; India-based and willing to relocate from Bhubaneswar, Odisha."
CAND_0005538,55,70.65,"The profile clears the JD bar because Lead AI Engineer work at Glance gives direct evidence of retrieval, embedding, ranking. Named skills/signals supporting the rank: advanced Feature Engineering (50m), advanced QLoRA (58m), advanced Python (38m); very responsive to recruiters (0.81), 90d notice, 20 recruiter saves in 30d; India-based in Kolkata, West Bengal."
CAND_0007009,56,70.60,"I would keep this as a solid but less dominant profile because the experience is not just AI keywords: Recommendation Systems Engineer at Netflix in Media maps to retrieval, semantic search, bm25. They have 7.9 yrs overall, expert Weaviate (40m), expert Python (95m), expert Embeddings (44m), plus solid recruiter response (0.62), short 30d notice, 0.87 interview completion; already in a preferred office market (Noida, Uttar Pradesh). Reason it is not ranked higher: recent activity is weak (last active 2026-03-19)."
CAND_0098846,57,70.41,"AI Engineer, 7.6 yrs, is a solid but less dominant fit for the role's retrieval/ranking mandate; the strongest evidence is Search Engineer work at Swiggy around retrieval, embedding, rag. Skills/signals check out via intermediate Kubeflow (9m), expert Hugging Face Transformers (66m), expert QLoRA (66m), with solid recruiter response (0.62), manageable 45d notice, 0.80 interview completion; India-based and willing to relocate from Indore, Madhya Pradesh."
CAND_0081686,58,70.38,"This profile earns rank 58 mainly on JD-critical evidence: retrieval, semantic search, bm25 from Recommendation Systems Engineer work at Niramai, not generic AI interest. The concrete facts are Search Engineer, 6.0 yrs, advanced Kubeflow (33m), expert Embeddings (59m), expert FAISS (49m), and Redrob availability signals of very responsive to recruiters (0.91), manageable 60d notice, 0.86 interview completion; outside India (Austin), so location is a caveat. Reason it is not ranked higher: location/logistics are weaker than the core technical fit."
CAND_0006557,59,70.27,"The profile clears the JD bar because Recommendation Systems Engineer work at Apple gives direct evidence of retrieval, embedding, rag. Named skills/signals supporting the rank: advanced Kubeflow (45m), advanced Data Science (38m), advanced Elasticsearch (40m); solid recruiter response (0.63), 120d notice, 53 recruiter saves in 30d; India-based and willing to relocate from Jaipur, Rajasthan. Reason it is not ranked higher: 120d notice period raises closing risk."
CAND_0010257,60,69.93,"This profile earns rank 60 mainly on JD-critical evidence: retrieval, embedding, ranking from Senior Data Scientist work at Google, not generic AI interest. The concrete facts are Senior Data Scientist, 6.5 yrs, expert Milvus (72m), advanced MLflow (50m), expert Python (86m), and Redrob availability signals of solid recruiter response (0.72), 120d notice, 0.92 interview completion; already in a preferred office market (Noida, Uttar Pradesh). Reason it is not ranked higher: 120d notice period raises closing risk."
CAND_0042029,61,69.92,"I would keep this as a solid but less dominant profile because the experience is not just AI keywords: Machine Learning Engineer at Observe.AI in AI/ML maps to retrieval, semantic search, embedding. They have 6.5 yrs overall, expert RAG (72m), advanced Elasticsearch (54m), expert Embeddings (54m), plus solid recruiter response (0.67), manageable 45d notice, 16 recruiter saves in 30d; based in a target Indian metro (Delhi, Delhi)."
CAND_0045250,62,69.74,"I would keep this as a solid but less dominant profile because the experience is not just AI keywords: Applied ML Engineer at Rephrase.ai in AI/ML maps to retrieval, embedding, ranking. They have 6.6 yrs overall, expert Sentence Transformers (57m), advanced Milvus (51m), advanced LoRA (24m), plus solid recruiter response (0.74), short 15d notice, 39 recruiter saves in 30d; based in a target Indian metro (Delhi, Delhi)."
CAND_0030953,63,69.73,"Rank 63 is a solid but less dominant match: Search Engineer with 7.8 yrs total, and the best evidence in a Applied ML Engineer stint at Vedantu (24 months) covering retrieval, semantic search, bm25. The supporting signals are advanced MLOps (55m), expert Qdrant (86m), advanced Python (23m), based in a target Indian metro (Chennai, Tamil Nadu), and solid recruiter response (0.63), manageable 45d notice, 46 recruiter saves in 30d. Reason it is not ranked higher: many short tenures."
CAND_0041568,64,69.58,"The profile clears the JD bar because Applied ML Engineer work at Flipkart gives direct evidence of retrieval, semantic search, embedding. Named skills/signals supporting the rank: expert Weaviate (81m), advanced Feature Engineering (53m), advanced Vector Search (44m); solid recruiter response (0.52), 90d notice, 43 recruiter saves in 30d; outside India (Sydney), so location is a caveat. Reason it is not ranked higher: location/logistics are weaker than the core technical fit."
CAND_0036437,65,69.56,"The profile clears the JD bar because Search Engineer work at Rephrase.ai gives direct evidence of retrieval, rag, ranking. Named skills/signals supporting the rank: intermediate Kubeflow (28m), expert OpenSearch (48m), expert Elasticsearch (92m); very responsive to recruiters (0.87), short 30d notice, 0.90 interview completion; India-based and willing to relocate from Kolkata, West Bengal."
CAND_0065195,66,69.45,"Search Engineer, 5.1 yrs, is a solid but less dominant fit for the role's retrieval/ranking mandate; the strongest evidence is Search Engineer work at CRED around retrieval, embedding, rag. Skills/signals check out via expert LLMs (59m), intermediate BentoML (35m), expert QLoRA (93m), with very responsive to recruiters (0.80), manageable 45d notice, 0.91 interview completion; India-based in Kolkata, West Bengal."
CAND_0039838,67,69.36,"Recommendation Systems Engineer, 4.9 yrs, is a solid but less dominant fit for the role's retrieval/ranking mandate; the strongest evidence is Recommendation Systems Engineer work at Amazon around semantic search, ranking, recommendation. Skills/signals check out via intermediate MLOps (14m), advanced Embeddings (46m), advanced Semantic Search (51m), with very responsive to recruiters (0.80), 90d notice, 0.95 interview completion; India-based in Kochi, Kerala."
CAND_0096142,68,69.21,"I would keep this as a solid but less dominant profile because the experience is not just AI keywords: Applied ML Engineer at BYJU'S in EdTech maps to retrieval, embedding, ranking. They have 5.0 yrs overall, intermediate Kubeflow (23m), advanced LoRA (55m), advanced Weaviate (58m), plus very responsive to recruiters (0.84), 120d notice, 18 recruiter saves in 30d; based in a target Indian metro (Hyderabad, Telangana). Reason it is not ranked higher: 120d notice period raises closing risk."
CAND_0075574,69,68.95,"The fit at rank 69 comes from search/ranking-style work rather than a generic ML label: embedding, rag, ranking appears in the Machine Learning Engineer work at Observe.AI. With 5.7 yrs, advanced Hugging Face Transformers (28m), expert Weaviate (82m), advanced Recommendation Systems (21m), solid recruiter response (0.58), manageable 60d notice, 0.96 interview completion, and based in a target Indian metro (Bangalore, Karnataka), the profile lines up with Redrob's founding AI-engineer brief."
CAND_0036184,70,68.88,"Recommendation Systems Engineer, 6.0 yrs, is a solid but less dominant fit for the role's retrieval/ranking mandate; the strongest evidence is Recommendation Systems Engineer work at CRED around retrieval, semantic search, bm25. Skills/signals check out via expert QLoRA (36m), expert FAISS (51m), intermediate MLOps (25m), with very responsive to recruiters (0.90), short 30d notice, 30 recruiter saves in 30d; India-based in Trivandrum, Kerala."
